,postcode,eastings,northings,latitude,longitude,town,region,country,country_string
242,BR1,540600,170000,51.41107,0.02192,Bromley,Greater London,ENG,England
243,BR2,540700,167500,51.38858,0.02237,Bromley,Greater London,ENG,England
244,BR3,537000,169000,51.40297,-0.0302,Bromley,Greater London,ENG,England
245,BR4,538700,166000,51.37559,-0.00695,Bromley,Greater London,ENG,England
246,BR5,546400,167800,51.38983,0.10436,Bromley,Greater London,ENG,England
247,BR6,545700,165100,51.36575,0.0932,Bromley,Greater London,ENG,England
248,BR7,544100,170000,51.41019,0.07222,Bromley,Greater London,ENG,England
512,CR0,534000,165500,51.37223,-0.07463,Croydon,Greater London,ENG,England
513,CR2,533700,163000,51.34983,-0.07988,Croydon,Greater London,ENG,England
515,CR4,528100,168900,51.40415,-0.15813,Merton,Greater London,ENG,England
516,CR5,529700,158700,51.31211,-0.13886,Croydon,Greater London,ENG,England
518,CR7,532000,168000,51.39517,-0.10242,Croydon,Greater London,ENG,England
519,CR8,531600,161400,51.33594,-0.11061,Croydon,Greater London,ENG,England
520,CR9,534000,165500,51.37223,-0.07463,Croydon,Greater London,ENG,England
583,DA14,546900,171700,51.42475,0.11316,Bexley,Greater London,ENG,England
584,DA15,545900,173400,51.44029,0.09948,Bexley,Greater London,ENG,England
585,DA16,546500,176100,51.4644,0.10923,Bexley,Greater London,ENG,England
586,DA17,549200,178700,51.48706,0.14917,Crayford,Greater London,ENG,England
587,DA18,548800,179200,51.49165,0.14363,Crayford,Greater London,ENG,England
591,DA5,549200,173500,51.44033,0.14698,Bexley,Greater London,ENG,England
592,DA6,548700,175100,51.45484,0.14046,Bexley,Greater London,ENG,England
593,DA7,549100,176300,51.46552,0.14672,Crayford,Greater London,ENG,England
594,DA8,551200,177500,51.47574,0.17745,Crayford,Greater London,ENG,England
728,E1,534700,181700,51.51766,-0.05841,Poplar,Greater London,ENG,England
729,E10,537800,187400,51.56814,-0.01153,Walthamstow,Greater London,ENG,England
730,E11,539600,187400,51.56769,0.01443,Walthamstow,Greater London,ENG,England
731,E12,542400,185500,51.54992,0.05404,Stratford,Greater London,ENG,England
732,E13,540600,182900,51.527,0.02705,East Ham,Greater London,ENG,England
733,E14,537500,180500,51.5062,-0.01855,Poplar,Greater London,ENG,England
734,E15,538900,184200,51.53911,0.00307,Stratford,Greater London,ENG,England
735,E16,540600,181100,51.51083,0.02633,East Ham,Greater London,ENG,England
736,E17,537300,189400,51.58623,-0.01796,Walthamstow,Greater London,ENG,England
737,E18,540400,190100,51.59176,0.02705,Ilford,Greater London,ENG,England
738,E1W,534800,180600,51.50775,-0.05739,Poplar,Greater London,ENG,England
739,E2,534500,183000,51.52939,-0.0608,Poplar,Greater London,ENG,England
740,E3,537000,182900,51.52789,-0.02482,Poplar,Greater London,ENG,England
741,E4,538200,193400,51.62196,-0.00339,Walthamstow,Greater London,ENG,England
742,E5,535000,186300,51.55893,-0.05233,Hackney,Greater London,ENG,England
743,E6,542600,182800,51.5256,0.05583,East Ham,Greater London,ENG,England
744,E7,540600,185100,51.54678,0.02793,Stratford,Greater London,ENG,England
745,E8,534300,184400,51.54202,-0.06315,Hackney,Greater London,ENG,England
746,E9,535700,184500,51.54258,-0.04293,Hackney,Greater London,ENG,England
747,EC1,531700,182200,51.52286,-0.10144,Islington,Greater London,ENG,England
748,EC1A,531600,181900,51.52019,-0.103,Islington,Greater London,ENG,England
749,EC1M,531700,182000,51.52106,-0.10152,Islington,Greater London,ENG,England
750,EC1N,531300,181900,51.52026,-0.10732,Camden Town,Greater London,ENG,England
751,EC1R,531300,182400,51.52475,-0.10713,Islington,Greater London,ENG,England
752,EC1V,532000,182500,51.52549,-0.09701,Islington,Greater London,ENG,England
753,EC1Y,532300,182200,51.52272,-0.0928,Islington,Greater London,ENG,England
754,EC2,532600,181900,51.51995,-0.08859,Islington,Greater London,ENG,England
755,EC2A,532800,182200,51.5226,-0.0856,Islington,Greater London,ENG,England
766,EC3P,531700,181900,51.52016,-0.10156,Islington,Greater London,ENG,England
830,EN1,533700,196800,51.6536,-0.06707,Enfield,Greater London,ENG,England
833,EN2,532000,197300,51.6585,-0.09144,Enfield,Greater London,ENG,England
834,EN3,535700,197400,51.65852,-0.03794,Enfield,Greater London,ENG,England
835,EN4,527300,196000,51.6479,-0.15983,Barnet,Greater London,ENG,England
836,EN5,524900,196100,51.64934,-0.19447,Barnet,Greater London,ENG,England
